,,Martin Heinrich,Total Votes Cast,Total Ballots Cast
,,Democratic,,
Precinct,150,89,89,89
Precinct,151,19,19,19
Precinct,152,88,88,88
Precinct,153,81,81,81
Precinct,154,28,28,28
Precinct,155,30,30,30
Precinct,156,13,13,13
Precinct,157,45,45,45
Precinct,158,31,31,31
Precinct,159,28,28,28
Precinct,160,18,18,18
Precinct,161,13,13,13
Precinct,162,68,68,68
Precinct,163,10,10,10
Precinct,164,36,36,36
Precinct,165,14,14,14
Precinct,166,32,32,32
Precinct,167,16,16,16
Precinct,168,6,6,6
Precinct,169,16,16,16
Precinct,170,41,41,41
Precinct,171,67,67,67
Precinct,172,61,61,61
Precinct,173,34,34,34
Precinct,174,29,29,29
Precinct,175,47,47,47
Precinct,176,106,106,106
Precinct,177,78,78,78
Precinct,178,60,60,60
Precinct,179,37,37,37
Precinct,180,34,34,34
Precinct,181,76,76,76
Precinct,182,59,59,59
