term,positive_mean_tfidf,negative_mean_tfidf,tfidf_difference,positive_npmi,negative_npmi,npmi_difference,composite_score,favored_group
legally,0.0,0.000673922985,-0.000673922985,-1.0,0.080825121433,-1.080825121433,-1.081499044418,cold
wilderness,0.0,0.00063944367,-0.00063944367,-1.0,0.080825121433,-1.080825121433,-1.081464565103,cold
books,0.0,0.000626821108,-0.000626821108,-1.0,0.080825121433,-1.080825121433,-1.081451942541,cold
mining,0.0,0.000558644694,-0.000558644694,-1.0,0.080825121433,-1.080825121433,-1.081383766127,cold
ask,0.0,0.000544062935,-0.000544062935,-1.0,0.080825121433,-1.080825121433,-1.081369184367,cold
eliminated,0.0,0.000534301652,-0.000534301652,-1.0,0.080825121433,-1.080825121433,-1.081359423085,cold
precious,0.0,0.000527788899,-0.000527788899,-1.0,0.080825121433,-1.080825121433,-1.081352910332,cold
polluted,0.0,0.000522961549,-0.000522961549,-1.0,0.080825121433,-1.080825121433,-1.081348082982,cold
aquifer,0.0,0.000521519922,-0.000521519922,-1.0,0.080825121433,-1.080825121433,-1.081346641355,cold
enhancing,0.0,0.000508181761,-0.000508181761,-1.0,0.080825121433,-1.080825121433,-1.081333303193,cold
empowerment,0.0,0.000502913269,-0.000502913269,-1.0,0.080825121433,-1.080825121433,-1.081328034702,cold
stated,0.0,0.000500274499,-0.000500274499,-1.0,0.080825121433,-1.080825121433,-1.081325395931,cold
aca,0.0,0.000500101633,-0.000500101633,-1.0,0.080825121433,-1.080825121433,-1.081325223066,cold
stewards,0.0,0.000492744656,-0.000492744656,-1.0,0.080825121433,-1.080825121433,-1.081317866089,cold
insist,0.0,0.000464428701,-0.000464428701,-1.0,0.080825121433,-1.080825121433,-1.081289550134,cold
though,0.0,0.00045830689,-0.00045830689,-1.0,0.080825121433,-1.080825121433,-1.081283428323,cold
everyday,0.0,0.000446664213,-0.000446664213,-1.0,0.080825121433,-1.080825121433,-1.081271785646,cold
poses,0.0,0.000446651605,-0.000446651605,-1.0,0.080825121433,-1.080825121433,-1.081271773038,cold
strength,0.0,0.000446190994,-0.000446190994,-1.0,0.080825121433,-1.080825121433,-1.081271312427,cold
everything,0.0,0.000437312396,-0.000437312396,-1.0,0.080825121433,-1.080825121433,-1.081262433829,cold
