term,positive_mean_tfidf,negative_mean_tfidf,tfidf_difference,positive_npmi,negative_npmi,npmi_difference,composite_score,favored_group
delegation,0.0,0.000771632971,-0.000771632971,-1.0,0.110161158296,-1.110161158296,-1.110932791267,cold
shared,0.0,0.003366066005,-0.003366066005,-1.0,0.106283473535,-1.106283473535,-1.109649539541,cold
politics,0.0,0.00277989114,-0.00277989114,-1.0,0.106283473535,-1.106283473535,-1.109063364675,cold
h,0.0,0.002080220483,-0.002080220483,-1.0,0.106321309453,-1.106321309453,-1.108401529936,cold
hands,0.0,0.00206457928,-0.00206457928,-1.0,0.106283473535,-1.106283473535,-1.108348052816,cold
idea,0.0,0.001848665417,-0.001848665417,-1.0,0.106321309453,-1.106321309453,-1.10816997487,cold
pathway,0.0,0.001759522666,-0.001759522666,-1.0,0.106321309453,-1.106321309453,-1.10808083212,cold
knows,0.0,0.001663047494,-0.001663047494,-1.0,0.106321309453,-1.106321309453,-1.107984356947,cold
result,0.0,0.001602808514,-0.001602808514,-1.0,0.106321309453,-1.106321309453,-1.107924117967,cold
ll,0.0,0.001552208891,-0.001552208891,-1.0,0.106321309453,-1.106321309453,-1.107873518344,cold
values,0.0,0.003237726989,-0.003237726989,-1.0,0.10138240166,-1.10138240166,-1.104620128649,cold
2020,0.001269690258,0.0,0.001269690258,0.103306726939,-1.0,1.103306726939,1.104576417197,hot
serving,0.0,0.002358824917,-0.002358824917,-1.0,0.098578097746,-1.098578097746,-1.100936922663,cold
responsibility,0.0,0.001607993279,-0.001607993279,-1.0,0.095844756516,-1.095844756516,-1.097452749794,cold
feel,0.0,0.003077895585,-0.003077895585,-1.0,0.092713636279,-1.092713636279,-1.095791531864,cold
r,0.0,0.001912369067,-0.001912369067,-1.0,0.093596258791,-1.093596258791,-1.095508627858,cold
path,0.0,0.001745376564,-0.001745376564,-1.0,0.093596258791,-1.093596258791,-1.095341635355,cold
ongoing,0.0,0.001731381692,-0.001731381692,-1.0,0.093596258791,-1.093596258791,-1.095327640482,cold
defense,0.0,0.001671643391,-0.001671643391,-1.0,0.093596258791,-1.093596258791,-1.095267902181,cold
link,0.0,0.001607998483,-0.001607998483,-1.0,0.093596258791,-1.093596258791,-1.095204257274,cold
includes,0.0,0.00124755417,-0.00124755417,-1.0,0.093596258791,-1.093596258791,-1.094843812961,cold
global,0.0,0.002817630014,-0.002817630014,-1.0,0.088480727491,-1.088480727491,-1.091298357505,cold
forests,0.001459758372,0.0,0.001459758372,0.085633260783,-1.0,1.085633260783,1.087093019155,hot
victims,0.001114782911,0.0,0.001114782911,0.085633260783,-1.0,1.085633260783,1.086748043695,hot
