,,"Statement and Return Report

for Certification



Primary Election 2026 - 06/23/2026


Crossover - 
Democratic Party




Democratic Representative in Congress


10th Congressional District


Vote for 1","Kings County","ALEXA AVILES (Write-In)",13,,,,,,,"Total Votes","53,067","Unrecorded",172,,"We certify this statement to be correct, and have caused the same to be attested by the signatures of the members of the board, or a majority thereof, on Tuesday, July 14, 2026.","Secretary","Chairman","Canvassing Board","Canvassing Board","Page -1 of 1"
,,"Statement and Return Report

for Certification



Primary Election 2026 - 06/23/2026


Crossover - 
Democratic Party




Democratic Representative in Congress


10th Congressional District


Vote for 1","Kings County","ANDREW CUOMO (Write-In)",1,,,,,,,"Total Votes","53,067","Unrecorded",172,,"We certify this statement to be correct, and have caused the same to be attested by the signatures of the members of the board, or a majority thereof, on Tuesday, July 14, 2026.","Secretary","Chairman","Canvassing Board","Canvassing Board","Page -1 of 1"
,,"Statement and Return Report

for Certification



Primary Election 2026 - 06/23/2026


Crossover - 
Democratic Party




Democratic Representative in Congress


10th Congressional District


Vote for 1","Kings County","ANTONIO REYNOSO (Write-In)",5,,,,,,,"Total Votes","53,067","Unrecorded",172,,"We certify this statement to be correct, and have caused the same to be attested by the signatures of the members of the board, or a majority thereof, on Tuesday, July 14, 2026.","Secretary","Chairman","Canvassing Board","Canvassing Board","Page -1 of 1"
,,"Statement and Return Report

for Certification



Primary Election 2026 - 06/23/2026


Crossover - 
Democratic Party




Democratic Representative in Congress


10th Congressional District


Vote for 1","Kings County","BRETT THOMASON (Write-In)",1,,,,,,,"Total Votes","53,067","Unrecorded",172,,"We certify this statement to be correct, and have caused the same to be attested by the signatures of the members of the board, or a majority thereof, on Tuesday, July 14, 2026.","Secretary","Chairman","Canvassing Board","Canvassing Board","Page -1 of 1"
,,"Statement and Return Report

for Certification



Primary Election 2026 - 06/23/2026


Crossover - 
Democratic Party




Democratic Representative in Congress


10th Congressional District


Vote for 1","Kings County","CAMERON KASKY (Write-In)",1,,,,,,,"Total Votes","53,067","Unrecorded",172,,"We certify this statement to be correct, and have caused the same to be attested by the signatures of the members of the board, or a majority thereof, on Tuesday, July 14, 2026.","Secretary","Chairman","Canvassing Board","Canvassing Board","Page -1 of 1"
,,"Statement and Return Report

for Certification



Primary Election 2026 - 06/23/2026


Crossover - 
Democratic Party




Democratic Representative in Congress


10th Congressional District


Vote for 1","Kings County","CLAIRE VALDEZ (Write-In)",2,,,,,,,"Total Votes","53,067","Unrecorded",172,,"We certify this statement to be correct, and have caused the same to be attested by the signatures of the members of the board, or a majority thereof, on Tuesday, July 14, 2026.","Secretary","Chairman","Canvassing Board","Canvassing Board","Page -1 of 1"
,,"Statement and Return Report

for Certification



Primary Election 2026 - 06/23/2026


Crossover - 
Democratic Party




Democratic Representative in Congress


10th Congressional District


Vote for 1","Kings County","DANIEL WAI (Write-In)",1,,,,,,,"Total Votes","53,067","Unrecorded",172,,"We certify this statement to be correct, and have caused the same to be attested by the signatures of the members of the board, or a majority thereof, on Tuesday, July 14, 2026.","Secretary","Chairman","Canvassing Board","Canvassing Board","Page -1 of 1"
,,"Statement and Return Report

for Certification



Primary Election 2026 - 06/23/2026


Crossover - 
Democratic Party




Democratic Representative in Congress


10th Congressional District


Vote for 1","Kings County","DANIELA DIMEGLIO (Write-In)",1,,,,,,,"Total Votes","53,067","Unrecorded",172,,"We certify this statement to be correct, and have caused the same to be attested by the signatures of the members of the board, or a majority thereof, on Tuesday, July 14, 2026.","Secretary","Chairman","Canvassing Board","Canvassing Board","Page -1 of 1"
,,"Statement and Return Report

for Certification



Primary Election 2026 - 06/23/2026


Crossover - 
Democratic Party




Democratic Representative in Congress


10th Congressional District


Vote for 1","Kings County","DONALD J. TRUMP (Write-In)",3,,,,,,,"Total Votes","53,067","Unrecorded",172,,"We certify this statement to be correct, and have caused the same to be attested by the signatures of the members of the board, or a majority thereof, on Tuesday, July 14, 2026.","Secretary","Chairman","Canvassing Board","Canvassing Board","Page -1 of 1"
,,"Statement and Return Report

for Certification



Primary Election 2026 - 06/23/2026


Crossover - 
Democratic Party




Democratic Representative in Congress


10th Congressional District


Vote for 1","Kings County","ELI GOTTEHRER (Write-In)",1,,,,,,,"Total Votes","53,067","Unrecorded",172,,"We certify this statement to be correct, and have caused the same to be attested by the signatures of the members of the board, or a majority thereof, on Tuesday, July 14, 2026.","Secretary","Chairman","Canvassing Board","Canvassing Board","Page -1 of 1"
,,"Statement and Return Report

for Certification



Primary Election 2026 - 06/23/2026


Crossover - 
Democratic Party




Democratic Representative in Congress


10th Congressional District


Vote for 1","Kings County","ERIC GONZALEZ (Write-In)",1,,,,,,,"Total Votes","53,067","Unrecorded",172,,"We certify this statement to be correct, and have caused the same to be attested by the signatures of the members of the board, or a majority thereof, on Tuesday, July 14, 2026.","Secretary","Chairman","Canvassing Board","Canvassing Board","Page -1 of 1"
,,"Statement and Return Report

for Certification



Primary Election 2026 - 06/23/2026


Crossover - 
Democratic Party




Democratic Representative in Congress


10th Congressional District


Vote for 1","Kings County","ESTEBAN CHAVEZ (Write-In)",1,,,,,,,"Total Votes","53,067","Unrecorded",172,,"We certify this statement to be correct, and have caused the same to be attested by the signatures of the members of the board, or a majority thereof, on Tuesday, July 14, 2026.","Secretary","Chairman","Canvassing Board","Canvassing Board","Page -1 of 1"
,,"Statement and Return Report

for Certification



Primary Election 2026 - 06/23/2026


Crossover - 
Democratic Party




Democratic Representative in Congress


10th Congressional District


Vote for 1","Kings County","HAZEL JOHNSON (Write-In)",1,,,,,,,"Total Votes","53,067","Unrecorded",172,,"We certify this statement to be correct, and have caused the same to be attested by the signatures of the members of the board, or a majority thereof, on Tuesday, July 14, 2026.","Secretary","Chairman","Canvassing Board","Canvassing Board","Page -1 of 1"
,,"Statement and Return Report

for Certification



Primary Election 2026 - 06/23/2026


Crossover - 
Democratic Party




Democratic Representative in Congress


10th Congressional District


Vote for 1","Kings County","IAN COHEN (Write-In)",1,,,,,,,"Total Votes","53,067","Unrecorded",172,,"We certify this statement to be correct, and have caused the same to be attested by the signatures of the members of the board, or a majority thereof, on Tuesday, July 14, 2026.","Secretary","Chairman","Canvassing Board","Canvassing Board","Page -1 of 1"
,,"Statement and Return Report

for Certification



Primary Election 2026 - 06/23/2026


Crossover - 
Democratic Party




Democratic Representative in Congress


10th Congressional District


Vote for 1","Kings County","IGENIE F. HARRIS-BLENMAN (Write-In)",2,,,,,,,"Total Votes","53,067","Unrecorded",172,,"We certify this statement to be correct, and have caused the same to be attested by the signatures of the members of the board, or a majority thereof, on Tuesday, July 14, 2026.","Secretary","Chairman","Canvassing Board","Canvassing Board","Page -1 of 1"
,,"Statement and Return Report

for Certification



Primary Election 2026 - 06/23/2026


Crossover - 
Democratic Party




Democratic Representative in Congress


10th Congressional District


Vote for 1","Kings County","INNA KATZNELSON (Write-In)",1,,,,,,,"Total Votes","53,067","Unrecorded",172,,"We certify this statement to be correct, and have caused the same to be attested by the signatures of the members of the board, or a majority thereof, on Tuesday, July 14, 2026.","Secretary","Chairman","Canvassing Board","Canvassing Board","Page -1 of 1"
,,"Statement and Return Report

for Certification



Primary Election 2026 - 06/23/2026


Crossover - 
Democratic Party




Democratic Representative in Congress


10th Congressional District


Vote for 1","Kings County","JALEN BRUNSON (Write-In)",4,,,,,,,"Total Votes","53,067","Unrecorded",172,,"We certify this statement to be correct, and have caused the same to be attested by the signatures of the members of the board, or a majority thereof, on Tuesday, July 14, 2026.","Secretary","Chairman","Canvassing Board","Canvassing Board","Page -1 of 1"
