,,David Robinson II,Daniel J Shrief,Total Votes Cast,Overvotes/Undervotes,Total Ballots Cast
,,Democratic,Democratic,,,
Precinct,Oakwood,18,4,22,70,92
Precinct,Old Friarsgate,46,5,51,44,95
Precinct,Parkridge 01,32,6,38,42,80
Precinct,Parkridge 02,23,5,28,25,53
Precinct,Parkway 01,240,45,285,43,328
Precinct,Parkway 02,295,40,335,66,401
Precinct,Parkway 03,278,35,313,33,346
Precinct,Pennington 01,36,4,40,238,278
Precinct,Pennington 02,80,10,90,132,222
Precinct,Polo Road,192,26,218,59,277
Precinct,Pontiac 01,189,27,216,219,435
Precinct,Pontiac 02,292,41,333,224,557
Precinct,Provisional,4,2,6,22,28
Precinct,Rice Creek 01,147,19,166,21,187
Precinct,Rice Creek 02,262,37,299,68,367
Precinct,Ridge View 01,307,46,353,77,430
Precinct,Ridge View 02,311,50,361,51,412
Precinct,River Springs 01,19,4,23,44,67
Precinct,River Springs 02,44,7,51,29,80
Precinct,River Springs 03,46,7,53,61,114
Precinct,Riverwalk,200,46,246,96,342
Precinct,Round Top,56,12,68,29,97
Precinct,Satchelford,62,14,76,74,150
Precinct,South Beltline,47,4,51,44,95
Precinct,South Forest Acres,75,17,92,219,311
Precinct,Spring Hill,28,2,30,184,214
Precinct,Spring Valley,216,38,254,72,326
Precinct,Springville 01,36,4,40,133,173
Precinct,Springville 02,17,1,18,135,153
Precinct,Trenholm Road,36,7,43,51,94
Precinct,Valhalla,134,23,157,89,246
Precinct,Ward 16,68,7,75,274,349
Precinct,Ward 17,108,15,123,271,394
Precinct,Ward 24,65,14,79,139,218
Precinct,Ward 25,46,9,55,367,422
Precinct,Ward 26,55,14,69,81,150
Precinct,Wildewood,166,32,198,151,349
Precinct,Woodfield,184,20,204,53,257
Precinct,Woodlands,70,17,87,287,374
