Precinct_name,Reporting_flag,Pct_Id,Pct_seq_nbr,Reg_voters,Aggregation_ID,Contest_Id,Contest_seq_nbr,Contest_title,Contest_party_name,Selectable_Options,Candidate_State_ID,candidate_id,candidate_name,Candidate_Type,cand_seq_nbr,Party_Code,total_ballots,total_votes,total_under_votes,total_over_votes,Election Day_ballots,Election Day_votes,Election Day_under_votes,Election Day_over_votes,Absentee_ballots,Absentee_votes,Absentee_under_votes,Absentee_over_votes,Early Voting_ballots,Early Voting_votes,Early Voting_under_votes,Early Voting_over_votes,Question_ballots,Question_votes,Question_under_votes,Question_over_votes,Remote_ballots,Remote_votes,Remote_under_votes,Remote_over_votes,
"36-174 Venetie",0,"36-174",295,139,"",6,5,"U.S. Senator","",1,"",128,"Sullivan, Daniel J. Jr.",C,15,"",23,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"36-174 Venetie",0,"36-174",295,139,"",6,5,"U.S. Senator","",1,"",7,"Sullivan, Dan S.",C,16,"REP",23,3,0,0,23,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"36-174 Venetie",0,"36-174",295,139,"",7,6,"U.S. Representative","",1,"",58,"Ambrose, David R. II",C,17,"NON",23,1,0,0,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"36-174 Venetie",0,"36-174",295,139,"",7,6,"U.S. Representative","",1,"",52,"Begich, Nick",C,18,"REP",23,5,0,0,23,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"36-174 Venetie",0,"36-174",295,139,"",7,6,"U.S. Representative","",1,"",59,"Dutchess, Lady Donna",C,19,"NON",23,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"36-174 Venetie",0,"36-174",295,139,"",7,6,"U.S. Representative","",1,"",98,"Foddrill, John E. Sr.",C,20,"LIB",23,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"36-174 Venetie",0,"36-174",295,139,"",7,6,"U.S. Representative","",1,"",99,"Goldfarb, Eddie",C,21,"REP",23,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"36-174 Venetie",0,"36-174",295,139,"",7,6,"U.S. Representative","",1,"",100,"Hafner, Eric",C,22,"DEM",23,2,0,0,23,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"36-174 Venetie",0,"36-174",295,139,"",7,6,"U.S. Representative","",1,"",101,"Hill, Bill",C,23,"NON",23,9,0,0,23,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"36-174 Venetie",0,"36-174",295,139,"",7,6,"U.S. Representative","",1,"",102,"McDermott, James C. ""Jim""",C,24,"LIB",23,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"36-174 Venetie",0,"36-174",295,139,"",7,6,"U.S. Representative","",1,"",103,"Reynoso, Yaquelin",C,25,"DEM",23,1,0,0,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"36-174 Venetie",0,"36-174",295,139,"",7,6,"U.S. Representative","",1,"",104,"Richey, David",C,26,"NON",23,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"36-174 Venetie",0,"36-174",295,139,"",7,6,"U.S. Representative","",1,"",105,"Salazar, Melanie A.",C,27,"NON",23,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"36-174 Venetie",0,"36-174",295,139,"",7,6,"U.S. Representative","",1,"",106,"Schultz, Matt",C,28,"DEM",23,2,0,0,23,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"36-174 Venetie",0,"36-174",295,139,"",7,6,"U.S. Representative","",1,"",107,"Strickland, Clay",C,29,"REP",23,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"36-174 Venetie",0,"36-174",295,139,"",7,6,"U.S. Representative","",1,"",8,"Williams, John B.",C,30,"DEM",23,2,0,0,23,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"36-174 Venetie",0,"36-174",295,139,"",7,6,"U.S. Representative","",1,"",51,"Williams, Matthew ""Bronco""",C,31,"UND",23,1,0,0,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"36-174 Venetie",0,"36-174",295,139,"",5,7,"Governor / Lieutenant Governor","",1,"",17,"Begich/Hnilicka",C,32,"DEM",23,5,0,0,23,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"36-174 Venetie",0,"36-174",295,139,"",5,7,"Governor / Lieutenant Governor","",1,"",18,"Bishop/Schuerch",C,33,"REP/NON",23,5,0,0,23,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"36-174 Venetie",0,"36-174",295,139,"",5,7,"Governor / Lieutenant Governor","",1,"",19,"Bronson/Church",C,34,"REP",23,1,0,0,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"36-174 Venetie",0,"36-174",295,139,"",5,7,"Governor / Lieutenant Governor","",1,"",20,"Crum/Craig",C,35,"REP",23,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"36-174 Venetie",0,"36-174",295,139,"",5,7,"Governor / Lieutenant Governor","",1,"",23,"DeVries/Hightower",C,36,"REP",23,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"36-174 Venetie",0,"36-174",295,139,"",5,7,"Governor / Lieutenant Governor","",1,"",22,"DeWitt/Steere",C,37,"NON",23,3,0,0,23,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"36-174 Venetie",0,"36-174",295,139,"",5,7,"Governor / Lieutenant Governor","",1,"",196,"Gilbert/Hickel",C,38,"REP",23,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"36-174 Venetie",0,"36-174",295,139,"",5,7,"Governor / Lieutenant Governor","",1,"",25,"Heilala/Sumner",C,39,"REP",23,1,0,0,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"36-174 Venetie",0,"36-174",295,139,"",5,7,"Governor / Lieutenant Governor","",1,"",26,"Hughes/Gettys",C,40,"REP",23,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"36-174 Venetie",0,"36-174",295,139,"",5,7,"Governor / Lieutenant Governor","",1,"",27,"Kreiss-Tomkins/Johnson",C,41,"DEM/NON",23,5,0,0,23,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"36-174 Venetie",0,"36-174",295,139,"",5,7,"Governor / Lieutenant Governor","",1,"",5,"Kroll/Nicholson",C,42,"REP/UND",23,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"36-174 Venetie",0,"36-174",295,139,"",5,7,"Governor / Lieutenant Governor","",1,"",125,"McGuire/Rasmussen",C,43,"REP",23,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"36-174 Venetie",0,"36-174",295,139,"",5,7,"Governor / Lieutenant Governor","",1,"",28,"Parkin IV/Greer",C,44,"REP/DEM",23,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"36-174 Venetie",0,"36-174",295,139,"",5,7,"Governor / Lieutenant Governor","",1,"",126,"Payne/Silvers",C,45,"UND",23,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
